Player Name,Nationality,DOB,Position,Senior Clubs Played For,candidate_transfermarkt_id,candidate_wikidata_qid,candidate_name,candidate_dob,candidate_nationality,match_confidence,review_reason
Jürgen Klinsmann,Germany,"Jul 30, 1964",FWD,"Stuttgarter Kickers, VfB Stuttgart, Inter Milan, Monaco, Tottenham Hotspur, Bayern Munich, Sampdoria, Orange County Blue Star",,,,,,0,low_confidence
Rudi Völler,Germany,"Apr 13, 1960",FWD,"Kickers Offenbach, TSV 1860 Munich, Werder Bremen, Roma, Marseille, Bayer Leverkusen",,,,,,0,low_confidence
Matthias Sammer,Germany,"Sep 5, 1967",DEF,"Dynamo Dresden, VfB Stuttgart, Inter Milan, Borussia Dortmund",,,,,,0,low_confidence
Karl-Heinz Rummenigge,Germany,"Sep 25, 1955",FWD,"Bayern Munich, Inter Milan, Servette",,,,,,0,low_confidence
Ryan Giggs,Wales,"Nov 29, 1973",MID,Manchester United,,,,,,0,low_confidence
Paul Scholes,England,"Nov 16, 1974",MID,Manchester United,,,,,,0,low_confidence
Roy Keane,Ireland,"Aug 10, 1971",MID,"Cobh Ramblers, Nottingham Forest, Manchester United, Celtic",,,,,,0,low_confidence
Peter Schmeichel,Denmark,"Nov 18, 1963",GK,"Hvidovre, Brøndby, Manchester United, Sporting CP, Aston Villa, Manchester City",,,,,,0,low_confidence
Gary Neville,England,"Feb 18, 1975",DEF,Manchester United,,,,,,0,low_confidence
Rio Ferdinand,England,"Nov 7, 1978",DEF,"West Ham United, Bournemouth, Leeds United, Manchester United, Queens Park Rangers",,,,,,0,low_confidence
Eric Cantona,France,"May 24, 1966",FWD,"Auxerre, Martigues, Marseille, Bordeaux, Montpellier, Nîmes, Leeds United, Manchester United",,,,,,0,low_confidence
Alan Shearer,England,"Aug 13, 1970",FWD,"Southampton, Blackburn Rovers, Newcastle United",,,,,,0,low_confidence
Michael Owen,England,"Dec 14, 1979",FWD,"Liverpool, Real Madrid, Newcastle United, Manchester United, Stoke City",,,,,,0,low_confidence
Robbie Fowler,England,"Apr 9, 1975",FWD,"Liverpool, Leeds United, Manchester City, Cardiff City, Blackburn Rovers, North Queensland Fury, Perth Glory, Muangthong United",,,,,,0,low_confidence
Steven Gerrard,England,"May 30, 1980",MID,"Liverpool, LA Galaxy",,,,,,0,low_confidence
Jamie Carragher,England,"Jan 28, 1978",DEF,Liverpool,,,,,,0,low_confidence
Patrick Vieira,France,"Jun 23, 1976",MID,"Cannes, AC Milan, Arsenal, Juventus, Inter Milan, Manchester City",,,,,,0,low_confidence
Robert Pires,France,"Oct 29, 1973",MID,"Metz, Marseille, Arsenal, Villarreal, Aston Villa, FC Goa",,,,,,0,low_confidence
Emmanuel Petit,France,"Sep 22, 1970",MID,"Monaco, Arsenal, Barcelona, Chelsea",,,,,,0,low_confidence
Lilian Thuram,France,"Jan 1, 1972",DEF,"Monaco, Parma, Juventus, Barcelona",,,,,,0,low_confidence
Marcel Desailly,France,"Sep 7, 1968",DEF,"Nantes, Marseille, AC Milan, Chelsea, Al-Gharafa, Qatar SC",,,,,,0,low_confidence
Laurent Blanc,France,"Nov 19, 1965",DEF,"Montpellier, Napoli, Nîmes, Saint-Étienne, Auxerre, Barcelona, Marseille, Inter Milan, Manchester United",,,,,,0,low_confidence
Didier Deschamps,France,"Oct 15, 1968",MID,"Nantes, Bordeaux, Marseille, Juventus, Chelsea, Valencia",,,,,,0,low_confidence
David Trezeguet,France,"Oct 15, 1977",FWD,"Platense, Monaco, Juventus, Hércules, Baniyas, River Plate, Newell's Old Boys, Pune City",,,,,,0,low_confidence
Nicolas Anelka,France,"Mar 14, 1979",FWD,"Paris Saint-Germain, Arsenal, Real Madrid, Liverpool, Manchester City, Fenerbahçe, Bolton Wanderers, Chelsea, Shanghai Shenhua, Juventus, West Ham United, Mumbai City",,,,,,0,low_confidence
Youri Djorkaeff,France,"Mar 9, 1968",MID,"Grenoble, Strasbourg, Monaco, Paris Saint-Germain, Inter Milan, Kaiserslautern, Bolton Wanderers, Blackburn Rovers, New York Red Bulls",,,,,,0,low_confidence
Michael Laudrup,Denmark,"Jun 15, 1964",MID,"KB, Brøndby, Juventus, Lazio, Barcelona, Real Madrid, Vissel Kobe, Ajax",,,,,,0,low_confidence
Brian Laudrup,Denmark,"Feb 22, 1969",FWD,"Brøndby, Bayer Uerdingen, Bayern Munich, Fiorentina, Milan, Rangers, Chelsea, Copenhagen, Ajax",,,,,,0,low_confidence
Hristo Stoichkov,Bulgaria,"Feb 8, 1966",FWD,"Hebros, CSKA Sofia, Barcelona, Parma, Al-Nassr, Kashiwa Reysol, Chicago Fire, D.C. United",,,,,,0,low_confidence
Gheorghe Hagi,Romania,"Feb 5, 1965",MID,"Farul Constanța, Sportul Studențesc, Steaua București, Real Madrid, Brescia, Barcelona, Galatasaray",,,,,,0,low_confidence
Davor Šuker,Croatia,"Jan 1, 1968",FWD,"Osijek, Dinamo Zagreb, Sevilla, Real Madrid, Arsenal, West Ham United, 1860 Munich",,,,,,0,low_confidence
Zvonimir Boban,Croatia,"Oct 8, 1968",MID,"Dinamo Zagreb, AC Milan, Bari, Celta Vigo",,,,,,0,low_confidence
Andriy Shevchenko,Ukraine,"Sep 29, 1976",FWD,"Dynamo Kyiv, AC Milan, Chelsea",,,,,,0,low_confidence
Pavel Nedvěd,Czech Republic,"Aug 30, 1972",MID,"Dukla Prague, Sparta Prague, Lazio, Juventus",,,,,,0,low_confidence
Predrag Mijatović,Montenegro,"Jan 19, 1969",FWD,"Budućnost Podgorica, Partizan, Valencia, Real Madrid, Fiorentina, Levante",,,,,,0,low_confidence
Jari Litmanen,Finland,"Feb 20, 1971",MID,"Reipas, HJK, MyPa, Ajax, Barcelona, Liverpool, Hansa Rostock, Malmö FF, Lahti",,,,,,0,low_confidence
George Weah,Liberia,"Oct 1, 1966",FWD,"Mighty Barrolle, Invincible Eleven, Tonnerre Yaoundé, Monaco, Paris Saint-Germain, AC Milan, Chelsea, Manchester City, Marseille, Al-Jazira",,,,,,0,low_confidence
Abedi Pele,Ghana,"Nov 5, 1964",MID,"Real Tamale, Al-Sadd, Zürich, Dragons l'Ouémé, Niort, Mulhouse, Marseille, Lille, Lyon, Torino, 1860 Munich, Al-Ain",,,,,,0,low_confidence
Nwankwo Kanu,Nigeria,"Aug 1, 1976",FWD,"Iwuanyanwu Nationale, Ajax, Inter Milan, Arsenal, West Ham United, Portsmouth",,,,,,0,low_confidence
Jay-Jay Okocha,Nigeria,"Aug 14, 1973",MID,"Eintracht Frankfurt, Fenerbahçe, Paris Saint-Germain, Bolton Wanderers, Qatar SC, Hull City",,,,,,0,low_confidence
Roger Milla,Cameroon,"May 20, 1952",FWD,"Éclair de Douala, Léopards de Douala, Tonnerre Yaoundé, Valenciennes, Monaco, Bastia, Saint-Étienne, Montpellier, Saint-Pierroise, Pelita Jaya, Bali United",,,,,,0,low_confidence
Michael Essien,Ghana,"Dec 3, 1982",MID,"Liberty Professionals, Bastia, Lyon, Chelsea, Real Madrid, AC Milan, Panathinaikos, Persib Bandung, Sabail",,,,,,0,low_confidence
Raúl González,Spain,"Jun 27, 1977",FWD,"Real Madrid, Schalke 04, Al-Sadd, New York Cosmos",,,,,,0,low_confidence
Guti,Spain,"Oct 31, 1976",MID,"Real Madrid, Beşiktaş",,,,,,0,low_confidence
Fernando Hierro,Spain,"Mar 23, 1968",DEF,"Real Valladolid, Real Madrid, Al-Rayan, Bolton Wanderers",,,,,,0,low_confidence
Carles Puyol,Spain,"Apr 13, 1978",DEF,Barcelona,,,,,,0,low_confidence
Luis Enrique,Spain,"May 8, 1970",MID,"Sporting Gijón, Real Madrid, Barcelona",,,,,,0,low_confidence
Pep Guardiola,Spain,"Jan 18, 1971",MID,"Barcelona, Brescia, Roma, Al-Ahli, Dorados de Sinaloa",,,,,,0,low_confidence
Deco,Portugal,"Aug 27, 1977",MID,"Corinthians, Alverca, Salgueiros, Porto, Barcelona, Chelsea, Fluminense",,,,,,0,low_confidence
Rui Costa,Portugal,"Mar 29, 1972",MID,"Benfica, Fafe, Fiorentina, AC Milan",,,,,,0,low_confidence
Vítor Baía,Portugal,"Oct 15, 1969",GK,"Porto, Barcelona",,,,,,0,low_confidence
Henrik Larsson,Sweden,"Sep 20, 1971",FWD,"Högaborg, Helsingborg, Feyenoord, Celtic, Barcelona, Manchester United, Råå IF",,,,,,0,low_confidence
Shunsuke Nakamura,Japan,"Jun 24, 1978",MID,"Yokohama F. Marinos, Reggina, Celtic, Espanyol, Júbilo Iwata, Yokohama FC",,,,,,0,low_confidence
Hidetoshi Nakata,Japan,"Jan 22, 1977",MID,"Bellmare Hiratsuka, Perugia, Roma, Parma, Bologna, Fiorentina, Bolton Wanderers",,,,,,0,low_confidence
Claudio Caniggia,Argentina,"Jan 9, 1967",FWD,"River Plate, Verona, Atalanta, Roma, Benfica, Boca Juniors, Dundee, Rangers, Qatar SC, Wembley",,,,,,0,low_confidence
Diego Simeone,Argentina,"Apr 28, 1970",MID,"Vélez Sarsfield, Pisa, Sevilla, Atlético Madrid, Inter Milan, Lazio, Racing Club",,,,,,0,low_confidence
Juan Sebastián Verón,Argentina,"Mar 9, 1975",MID,"Estudiantes, Boca Juniors, Sampdoria, Parma, Lazio, Manchester United, Chelsea, Inter Milan, Brandsen",,,,,,0,low_confidence
Bebeto,Brazil,"Feb 16, 1964",FWD,"Vitória, Flamengo, Vasco da Gama, Deportivo La Coruña, Sevilla, Cruzeiro, Toros Neza, Kashima Antlers, Botafogo, Al-Ittihad",,,,,,0,low_confidence
Dunga,Brazil,"Oct 31, 1963",MID,"Internacional, Corinthians, Santos, Vasco da Gama, Pisa, Fiorentina, Pescara, VfB Stuttgart, Júbilo Iwata",,,,,,0,low_confidence
Cristiano Ronaldo,Portugal,"Feb 5, 1985",FWD,"Sporting CP, Manchester United, Real Madrid, Juventus, Al-Nassr",,,,,,0,low_confidence
Zlatan Ibrahimović,Sweden,"Oct 3, 1981",FWD,"Malmö FF, Ajax, Juventus, Inter Milan, Barcelona, AC Milan, Paris Saint-Germain, Los Angeles Galaxy, Manchester United",,,,,,0,low_confidence
David Beckham,England,"May 2, 1975",MID,"Manchester United, Preston North End, Real Madrid, Los Angeles Galaxy, AC Milan, Paris Saint-Germain",,,,,,0,low_confidence
Wayne Rooney,England,"Oct 24, 1985",FWD,"Everton, Manchester United, D.C. United, Derby County",,,,,,0,low_confidence
Frank Lampard,England,"Jun 20, 1978",MID,"West Ham United, Swansea City, Chelsea, Manchester City, New York City FC",,,,,,0,low_confidence
Samuel Eto'o,Cameroon,"Mar 10, 1981",FWD,"Real Madrid, Leganés, Espanyol, Mallorca, Barcelona, Inter Milan, Anzhi Makhachkala, Chelsea, Everton, Sampdoria, Antalyaspor, Konyaspor, Qatar SC",,,,,,0,low_confidence
Kaká,Brazil,"Apr 22, 1982",MID,"São Paulo, AC Milan, Real Madrid, Orlando City SC",,,,,,0,low_confidence
Andrea Pirlo,Italy,"May 19, 1979",MID,"Brescia, Inter Milan, Reggina, AC Milan, Juventus, New York City FC",,,,,,0,low_confidence
Sergio Agüero,Argentina,"Jun 2, 1988",FWD,"Independiente, Atlético Madrid, Manchester City, Barcelona",,,,,,0,low_confidence
Cesc Fàbregas,Spain,"May 4, 1987",MID,"Arsenal, Barcelona, Chelsea, Monaco, Como",,,,,,0,low_confidence
David Silva,Spain,"Jan 8, 1986",MID,"Valencia, Eibar, Celta Vigo, Manchester City, Real Sociedad",,,,,,0,low_confidence
David Villa,Spain,"Dec 3, 1981",FWD,"Sporting Gijón, Real Zaragoza, Valencia, Barcelona, Atlético Madrid, New York City FC, Melbourne City, Vissel Kobe",,,,,,0,low_confidence
Karim Benzema,France,"Dec 19, 1987",FWD,"Lyon, Real Madrid, Al-Ittihad",,,,,,0,low_confidence
Luka Modrić,Croatia,"Sep 9, 1985",MID,"Dinamo Zagreb, Zrinjski Mostar, Inter Zaprešić, Tottenham Hotspur, Real Madrid",,,,,,0,low_confidence
Gareth Bale,Wales,"Jul 16, 1989",FWD,"Southampton, Tottenham Hotspur, Real Madrid, Los Angeles FC",,,,,,0,low_confidence
Robin van Persie,Netherlands,"Aug 6, 1983",FWD,"Feyenoord, Arsenal, Manchester United, Fenerbahçe",,,,,,0,low_confidence
Xabi Alonso,Spain,"Nov 25, 1981",MID,"Real Sociedad, Eibar, Liverpool, Real Madrid, Bayern Munich",,,,,,0,low_confidence
Fernando Torres,Spain,"Mar 20, 1984",FWD,"Atlético Madrid, Liverpool, Chelsea, AC Milan, Sagan Tosu",,,,,,0,low_confidence
Didier Drogba,Ivory Coast,"Mar 11, 1978",FWD,"Le Mans, Guingamp, Marseille, Chelsea, Shanghai Shenhua, Galatasaray, Montreal Impact, Phoenix Rising",,,,,,0,low_confidence
Ashley Cole,England,"Dec 20, 1980",DEF,"Arsenal, Crystal Palace, Chelsea, Roma, Los Angeles Galaxy, Derby County",,,,,,0,low_confidence
Petr Čech,Czech Republic,"May 20, 1982",GK,"Chmel Blšany, Sparta Prague, Rennes, Chelsea, Arsenal",,,,,,0,low_confidence
John Terry,England,"Dec 7, 1980",DEF,"Chelsea, Nottingham Forest, Aston Villa",,,,,,0,low_confidence
Carlos Tevez,Argentina,"Feb 5, 1984",FWD,"Boca Juniors, Corinthians, West Ham United, Manchester United, Manchester City, Juventus, Shanghai Shenhua",,,,,,0,low_confidence
Arjen Robben,Netherlands,"Jan 23, 1984",FWD,"Groningen, PSV Eindhoven, Chelsea, Real Madrid, Bayern Munich",,,,,,0,low_confidence
Wesley Sneijder,Netherlands,"Jun 9, 1984",MID,"Ajax, Real Madrid, Inter Milan, Galatasaray, Nice, Al-Gharafa",,,,,,0,low_confidence
Dani Alves,Brazil,"May 6, 1983",DEF,"Bahia, Sevilla, Barcelona, Juventus, Paris Saint-Germain, São Paulo, UNAM Pumas",,,,,,0,low_confidence
Gerard Piqué,Spain,"Feb 2, 1987",DEF,"Manchester United, Real Zaragoza, Barcelona",,,,,,0,low_confidence
Iker Casillas,Spain,"May 20, 1981",GK,"Real Madrid, Porto",,,,,,0,low_confidence
Sergio Ramos,Spain,"Mar 30, 1986",DEF,"Sevilla, Real Madrid, Paris Saint-Germain, Al-Orobah",,,,,,0,low_confidence
Marcelo,Brazil,"May 12, 1988",DEF,"Fluminense, Real Madrid, Olympiacos",,,,,,0,low_confidence
Gianluigi Buffon,Italy,"Jan 28, 1978",GK,"Parma, Juventus, Paris Saint-Germain",,,,,,0,low_confidence
Neymar,Brazil,"Feb 5, 1992",FWD,"Santos, Barcelona, Paris Saint-Germain, Al-Hilal",,,,,,0,low_confidence
Luis Suárez,Uruguay,"Jan 24, 1987",FWD,"Nacional, Groningen, Ajax, Liverpool, Barcelona, Atlético Madrid, Grêmio, Inter Miami",,,,,,0,low_confidence
Alexis Sánchez,Chile,"Dec 19, 1988",FWD,"Cobreloa, Colo-Colo, River Plate, Udinese, Barcelona, Arsenal, Manchester United, Inter Milan, Marseille",,,,,,0,low_confidence
Radamel Falcao,Colombia,"Feb 10, 1986",FWD,"Lanceros Boyacá, River Plate, Porto, Atlético Madrid, Monaco, Manchester United, Chelsea, Galatasaray, Rayo Vallecano, Millonarios",,,,,,0,low_confidence
Diego Costa,Spain,"Oct 7, 1988",FWD,"Penafiel, Braga, Atlético Madrid, Celta Vigo, Albacete, Real Valladolid, Rayo Vallecano, Chelsea, Atlético Mineiro, Wolverhampton Wanderers, Botafogo, Grêmio",,,,,,0,low_confidence
James Rodríguez,Colombia,"Jul 12, 1991",MID,"Envigado, Banfield, Porto, Monaco, Real Madrid, Bayern Munich, Everton, Al-Rayyan, Olympiacos, São Paulo, Rayo Vallecano",,,,,,0,low_confidence
Paul Pogba,France,"Mar 15, 1993",MID,"Manchester United, Juventus",,,,,,0,low_confidence
Bastian Schweinsteiger,Germany,"Aug 1, 1984",MID,"Bayern Munich, Manchester United, Chicago Fire",,,,,,0,low_confidence
Toni Kroos,Germany,"Jan 4, 1990",MID,"Bayern Munich, Bayer Leverkusen, Real Madrid",,,,,,0,low_confidence
Philipp Lahm,Germany,"Nov 11, 1983",DEF,"Bayern Munich, VfB Stuttgart",,,,,,0,low_confidence
Manuel Neuer,Germany,"Mar 27, 1986",GK,"Schalke 04, Bayern Munich",,,,,,0,low_confidence
Robert Lewandowski,Poland,"Aug 21, 1988",FWD,"Delta Warsaw, Legia Warsaw II, Znicz Pruszków, Lech Poznań, Borussia Dortmund, Bayern Munich, Barcelona",,,,,,0,low_confidence
Eden Hazard,Belgium,"Jan 7, 1991",FWD,"Lille, Chelsea, Real Madrid",,,,,,0,low_confidence
Kevin De Bruyne,Belgium,"Jun 28, 1991",MID,"Genk, Werder Bremen, Chelsea, VfL Wolfsburg, Manchester City",,,,,,0,low_confidence
Romelu Lukaku,Belgium,"May 13, 1993",FWD,"Anderlecht, Chelsea, West Bromwich Albion, Everton, Manchester United, Inter Milan, Roma, Napoli",,,,,,0,low_confidence
Álvaro Morata,Spain,"Oct 23, 1992",FWD,"Real Madrid, Juventus, Chelsea, Atlético Madrid, AC Milan",,,,,,0,low_confidence
Raheem Sterling,England,"Dec 8, 1994",FWD,"QPR, Liverpool, Manchester City, Chelsea, Arsenal",,,,,,0,low_confidence
Mohamed Salah,Egypt,"Jun 15, 1992",FWD,"El Mokawloon, Basel, Chelsea, Fiorentina, Roma, Liverpool",,,,,,0,low_confidence
Xavi,Spain,"Jan 25, 1980",MID,"Barcelona, Al-Sadd",,,,,,0,low_confidence
Franz Beckenbauer,Germany,"Sep 11, 1945",DEF,"Bayern Munich, New York Cosmos, Hamburger SV",,,,,,0,low_confidence
Gerd Müller,Germany,"Nov 3, 1945",FWD,"TSV 1861 Nördlingen, Bayern Munich, Fort Lauderdale Strikers",,,,,,0,low_confidence
Eusebio,Portugal,"Jan 25, 1942",FWD,"Sporting de Lourenço Marques, Benfica, Boston Minutemen, Monterrey, Toronto Metros-Croatia, Beira-Mar, Las Vegas Quicksilvers, União de Tomar, New Jersey Americans",,,,,,0,low_confidence
Ferenc Puskás,Hungary,"Apr 1, 1927",FWD,"Budapest Honvéd, Real Madrid",,,,,,0,low_confidence
Alfredo Di Stéfano,Argentina / Spain,"Jul 4, 1926",FWD,"River Plate, Huracán, Millonarios, Real Madrid, Espanyol",,,,,,0,low_confidence
Garrincha,Brazil,"Oct 28, 1933",FWD,"Botafogo, Corinthians, Atlético Junior, Flamengo, Olaria",,,,,,0,low_confidence
Bobby Charlton,England,"Oct 11, 1937",MID,"Manchester United, Preston North End, Waterford",,,,,,0,low_confidence
George Best,Northern Ireland,"May 22, 1946",FWD,"Manchester United, Stockport County, Cork Celtic, Los Angeles Aztecs, Fulham, Fort Lauderdale Strikers, Hibernian, San Jose Earthquakes, Bournemouth, Brisbane Lions",,,,,,0,low_confidence
Lev Yashin,Russia,"Oct 22, 1929",GK,Dynamo Moscow,,,,,,0,low_confidence
Zico,Brazil,"Mar 3, 1953",MID,"Flamengo, Udinese, Kashima Antlers",,,,,,0,low_confidence
Sócrates,Brazil,"Feb 19, 1954",MID,"Botafogo-SP, Corinthians, Fiorentina, Flamengo, Santos",,,,,,0,low_confidence
Falcão,Brazil,"Oct 16, 1953",MID,"Internacional, Roma, São Paulo",,,,,,0,low_confidence
Dino Zoff,Italy,"Feb 28, 1942",GK,"Udinese, Mantova, Napoli, Juventus",,,,,,0,low_confidence
Giacinto Facchetti,Italy,"Jul 18, 1942",DEF,Inter Milan,,,,,,0,low_confidence
Gianni Rivera,Italy,"Aug 18, 1943",MID,"Alessandria, AC Milan",,,,,,0,low_confidence
Gigi Riva,Italy,"Nov 7, 1944",FWD,"Legnano, Cagliari",,,,,,0,low_confidence
Bobby Moore,England,"Apr 12, 1941",DEF,"West Ham United, Fulham, San Antonio Thunder, Seattle Sounders, Herning Fremad",,,,,,0,low_confidence
Gordon Banks,England,"Dec 30, 1937",GK,"Chesterfield, Leicester City, Stoke City, Fort Lauderdale Strikers",,,,,,0,low_confidence
Kevin Keegan,England,"Feb 14, 1951",FWD,"Scunthorpe United, Liverpool, Hamburger SV, Southampton, Newcastle United, Blacktown City",,,,,,0,low_confidence
Kenny Dalglish,Scotland,"Mar 4, 1951",FWD,"Celtic, Liverpool",,,,,,0,low_confidence
Graeme Souness,Scotland,"May 6, 1953",MID,"Tottenham Hotspur, Middlesbrough, Sampdoria, Rangers",,,,,,0,low_confidence
Ian Rush,Wales,"Oct 20, 1961",FWD,"Chester City, Liverpool, Juventus, Leeds United, Newcastle United, Sheffield United, Wrexham, Sydney Olympic",,,,,,0,low_confidence
John Barnes,England,"Nov 7, 1963",MID,"Watford, Liverpool, Newcastle United, Charlton Athletic",,,,,,0,low_confidence
Gary Lineker,England,"Nov 30, 1960",FWD,"Leicester City, Everton, Barcelona, Tottenham Hotspur, Nagoya Grampus Eight",,,,,,0,low_confidence
Bryan Robson,England,"Jan 11, 1957",MID,"West Bromwich Albion, Manchester United, Middlesbrough",,,,,,0,low_confidence
Glenn Hoddle,England,"Oct 27, 1957",MID,"Tottenham Hotspur, Monaco, Swindon Town, Chelsea",,,,,,0,low_confidence
