Player Name,Nationality,DOB,Position,Senior Clubs Played For,transfermarkt_id,wikidata_qid
Miroslav Klose,Germany,"Jun 9, 1978",FWD,"Bayern Munich, Lazio",10,Q80471
Oliver Bierhoff,Germany,"May 1, 1968",FWD,"Hamburger SV, Udinese, AC Milan, Monaco",56,Q152844
Jürgen Klinsmann,Germany,"Jul 30, 1964",FWD,"VfB Stuttgart, Inter Milan, Monaco, Tottenham Hotspur, Bayern Munich",16980,Q57079
Rudi Völler,Germany,"Apr 13, 1960",FWD,"Roma, Marseille, Bayer Leverkusen",13775,Q44464
Matthias Sammer,Germany,"Sep 5, 1967",DEF,"VfB Stuttgart, Inter Milan, Borussia Dortmund",77010,Q57183
Karl-Heinz Rummenigge,Germany,"Sep 25, 1955",FWD,"Bayern Munich, Inter Milan",72343,Q152871
Ryan Giggs,Wales,"Nov 29, 1973",MID,Manchester United,3406,Q10524
Paul Scholes,England,"Nov 16, 1974",MID,Manchester United,3397,Q45613
Roy Keane,Ireland,"Aug 10, 1971",MID,"Nottingham Forest, Manchester United, Celtic",3396,Q188632
Peter Schmeichel,Denmark,"Nov 18, 1963",GK,"Manchester United, Sporting CP, Aston Villa, Manchester City",3465,Q182314
Gary Neville,England,"Feb 18, 1975",DEF,Manchester United,3403,Q348857
Rio Ferdinand,England,"Nov 7, 1978",DEF,"West Ham United, Leeds United, Manchester United",3235,Q483417
Eric Cantona,France,"May 24, 1966",FWD,"Marseille, Leeds United, Manchester United",12000,Q170328
Alan Shearer,England,"Aug 13, 1970",FWD,"Southampton, Newcastle United",3110,Q483583
Michael Owen,England,"Dec 14, 1979",FWD,"Liverpool, Real Madrid, Newcastle United, Manchester United, Stoke City",1397,Q128829
Robbie Fowler,England,"Apr 9, 1975",FWD,"Liverpool, Leeds United, Manchester City",3225,Q206548
Steven Gerrard,England,"May 30, 1980",MID,Liverpool,3109,Q459830
Jamie Carragher,England,"Jan 28, 1978",DEF,Liverpool,3597,Q172211
Patrick Vieira,France,"Jun 23, 1976",MID,"AC Milan, Arsenal, Juventus, Inter Milan, Manchester City",3183,Q46347
Robert Pires,France,"Oct 29, 1973",MID,"Marseille, Arsenal, Villarreal, Aston Villa",3185,Q113156
Emmanuel Petit,France,"Sep 22, 1970",MID,"Monaco, Arsenal, Barcelona, Chelsea",3166,Q269883
Lilian Thuram,France,"Jan 1, 1972",DEF,"Monaco, Parma, Juventus, Barcelona",3521,Q180326
Marcel Desailly,France,"Sep 7, 1968",DEF,"Nantes, Marseille, AC Milan, Chelsea",3154,Q193625
Laurent Blanc,France,"Nov 19, 1965",DEF,"Napoli, Barcelona, Marseille, Inter Milan, Manchester United",3113,Q1839
Didier Deschamps,France,"Oct 15, 1968",MID,"Nantes, Marseille, Juventus, Chelsea, Valencia",75553,Q508711
David Trezeguet,France,"Oct 15, 1977",FWD,"Monaco, Juventus, River Plate",4146,Q183967
Nicolas Anelka,France,"Mar 14, 1979",FWD,"Paris Saint-Germain, Arsenal, Real Madrid, Liverpool, Manchester City, Fenerbahçe, Chelsea, Juventus, West Ham United",3226,Q1939
Youri Djorkaeff,France,"Mar 9, 1968",MID,"Monaco, Paris Saint-Germain, Inter Milan",4,Q217482
Michael Laudrup,Denmark,"Jun 15, 1964",MID,"Juventus, Lazio, Barcelona, Real Madrid, Ajax",8023,Q188720
Brian Laudrup,Denmark,"Feb 22, 1969",FWD,"Bayern Munich, Fiorentina, Rangers, Chelsea, Copenhagen, Ajax",39667,Q212854
Hristo Stoichkov,Bulgaria,"Feb 8, 1966",FWD,"Barcelona, Parma, Al-Nassr",7938,Q187125
Gheorghe Hagi,Romania,"Feb 5, 1965",MID,"Real Madrid, Barcelona, Galatasaray",7939,Q189892
Davor Šuker,Croatia,"Jan 1, 1968",FWD,"Dinamo Zagreb, Sevilla, Real Madrid, Arsenal, West Ham United",1407,Q189217
Zvonimir Boban,Croatia,"Oct 8, 1968",MID,"Dinamo Zagreb, AC Milan, Celta Vigo",89545,Q231468
Andriy Shevchenko,Ukraine,"Sep 29, 1976",FWD,"AC Milan, Chelsea",3522,Q41244
Pavel Nedvěd,Czech Republic,"Aug 30, 1972",MID,"Sparta Prague, Lazio, Juventus",3603,Q171295
Predrag Mijatović,Montenegro,"Jan 19, 1969",FWD,"Valencia, Real Madrid, Fiorentina",24481,Q237964
Jari Litmanen,Finland,"Feb 20, 1971",MID,"Ajax, Barcelona, Liverpool",4675,Q209650
George Weah,Liberia,"Oct 1, 1966",FWD,"Monaco, Paris Saint-Germain, AC Milan, Chelsea, Manchester City, Marseille",8542,Q173139
Abedi Pele,Ghana,"Nov 5, 1964",MID,"Marseille, Lille, Lyon, Torino",6657,Q336916
Nwankwo Kanu,Nigeria,"Aug 1, 1976",FWD,"Ajax, Inter Milan, Arsenal, West Ham United",3133,Q599675
Jay-Jay Okocha,Nigeria,"Aug 14, 1973",MID,"Eintracht Frankfurt, Fenerbahçe, Paris Saint-Germain",3708,Q605817
Roger Milla,Cameroon,"May 20, 1952",FWD,Monaco,88989,Q168540
Michael Essien,Ghana,"Dec 3, 1982",MID,"Lyon, Chelsea, Real Madrid, AC Milan",5588,Q969520
Raúl González,Spain,"Jun 27, 1977",FWD,"Real Madrid, Schalke 04",7349,Q11576
Guti,Spain,"Oct 31, 1976",MID,Real Madrid,7530,Q194461
Fernando Hierro,Spain,"Mar 23, 1968",DEF,"Real Valladolid, Real Madrid",7513,Q205499
Carles Puyol,Spain,"Apr 13, 1978",DEF,Barcelona,7594,Q17158
Luis Enrique,Spain,"May 8, 1970",MID,"Real Madrid, Barcelona",7601,Q222789
Pep Guardiola,Spain,"Jan 18, 1971",MID,"Barcelona, Roma, Al-Ahli",5950,Q164038
Deco,Portugal,"Aug 27, 1977",MID,"Corinthians, Porto, Barcelona, Chelsea, Fluminense",8564,Q659634
Rui Costa,Portugal,"Mar 29, 1972",MID,"Benfica, Fiorentina, AC Milan",3624,Q190608
Vítor Baía,Portugal,"Oct 15, 1969",GK,"Porto, Barcelona",8016,Q295887
Henrik Larsson,Sweden,"Sep 20, 1971",FWD,"Feyenoord, Celtic, Barcelona, Manchester United",3514,Q179334
Shunsuke Nakamura,Japan,"Jun 24, 1978",MID,"Celtic, Espanyol",6069,Q191138
Hidetoshi Nakata,Japan,"Jan 22, 1977",MID,"Roma, Parma, Bologna, Fiorentina",5875,Q128725
Claudio Caniggia,Argentina,"Jan 9, 1967",FWD,"River Plate, Atalanta, Roma, Benfica, Boca Juniors, Rangers",10367,Q270890
Diego Simeone,Argentina,"Apr 28, 1970",MID,"Sevilla, Atlético Madrid, Inter Milan, Lazio",5841,Q258115
Juan Sebastián Verón,Argentina,"Mar 9, 1975",MID,"Boca Juniors, Parma, Lazio, Manchester United, Chelsea, Inter Milan",3143,Q46502
Bebeto,Brazil,"Feb 16, 1964",FWD,"Flamengo, Deportivo La Coruña, Sevilla, Botafogo, Al-Ittihad",26541,Q204825
Dunga,Brazil,"Oct 31, 1963",MID,"Corinthians, Santos, Fiorentina, VfB Stuttgart",96342,Q215890
Cristiano Ronaldo,Portugal,"Feb 5, 1985",FWD,"Sporting CP, Manchester United, Real Madrid, Juventus, Al-Nassr",8198,Q11571
Zlatan Ibrahimović,Sweden,"Oct 3, 1981",FWD,"Ajax, Juventus, Inter Milan, Barcelona, AC Milan, Paris Saint-Germain, Los Angeles Galaxy, Manchester United",3455,Q46896
David Beckham,England,"May 2, 1975",MID,"Manchester United, Real Madrid, Los Angeles Galaxy, AC Milan, Paris Saint-Germain",3139,Q10520
Wayne Rooney,England,"Oct 24, 1985",FWD,"Everton, Manchester United",3332,Q266613
Frank Lampard,England,"Jun 20, 1978",MID,"West Ham United, Chelsea, Manchester City",3163,Q41533
Samuel Eto'o,Cameroon,"Mar 10, 1981",FWD,"Real Madrid, Espanyol, Barcelona, Inter Milan, Chelsea, Everton",4257,Q1255625
Kaká,Brazil,"Apr 22, 1982",MID,"AC Milan, Real Madrid",3366,Q531814
Andrea Pirlo,Italy,"May 19, 1979",MID,"Inter Milan, AC Milan, Juventus",5817,Q43926
Sergio Agüero,Argentina,"Jun 2, 1988",FWD,"Atlético Madrid, Manchester City, Barcelona",26399,Q119562
Cesc Fàbregas,Spain,"May 4, 1987",MID,"Arsenal, Barcelona, Chelsea, Monaco, Como",8806,Q17499
David Silva,Spain,"Jan 8, 1986",MID,"Valencia, Celta Vigo, Manchester City, Real Sociedad",35518,Q161069
David Villa,Spain,"Dec 3, 1981",FWD,"Real Zaragoza, Valencia, Barcelona, Atlético Madrid",7980,Q83006
Karim Benzema,France,"Dec 19, 1987",FWD,"Lyon, Real Madrid, Al-Ittihad",18922,Q1912
Luka Modrić,Croatia,"Sep 9, 1985",MID,"Dinamo Zagreb, Tottenham Hotspur, Real Madrid",27992,Q483837
Gareth Bale,Wales,"Jul 16, 1989",FWD,"Southampton, Tottenham Hotspur, Real Madrid",39381,Q184586
Robin van Persie,Netherlands,"Aug 6, 1983",FWD,"Feyenoord, Arsenal, Manchester United, Fenerbahçe",4380,Q2339
Xabi Alonso,Spain,"Nov 25, 1981",MID,"Real Sociedad, Liverpool, Real Madrid, Bayern Munich",7476,Q208104
Fernando Torres,Spain,"Mar 20, 1984",FWD,"Atlético Madrid, Liverpool, Chelsea, AC Milan",7767,Q42731
Didier Drogba,Ivory Coast,"Mar 11, 1978",FWD,"Marseille, Chelsea, Galatasaray",3924,Q48892
Ashley Cole,England,"Dec 20, 1980",DEF,"Arsenal, Crystal Palace, Chelsea, Roma, Los Angeles Galaxy",3182,Q133556
Petr Čech,Czech Republic,"May 20, 1982",GK,"Sparta Prague, Chelsea, Arsenal",5658,Q483137
John Terry,England,"Dec 7, 1980",DEF,"Chelsea, Nottingham Forest, Aston Villa",3160,Q83456
Carlos Tevez,Argentina,"Feb 5, 1984",FWD,"Boca Juniors, Corinthians, West Ham United, Manchester United, Manchester City, Juventus",4276,Q50600
Arjen Robben,Netherlands,"Jan 23, 1984",FWD,"PSV Eindhoven, Chelsea, Real Madrid, Bayern Munich",4360,Q43913
Wesley Sneijder,Netherlands,"Jun 9, 1984",MID,"Ajax, Real Madrid, Inter Milan, Galatasaray, Nice",4673,Q124086
Dani Alves,Brazil,"May 6, 1983",DEF,"Sevilla, Barcelona, Juventus, Paris Saint-Germain",15951,Q172720
Gerard Piqué,Spain,"Feb 2, 1987",DEF,"Manchester United, Real Zaragoza, Barcelona",18944,Q17507
Iker Casillas,Spain,"May 20, 1981",GK,"Real Madrid, Porto",3979,Q11584
Sergio Ramos,Spain,"Mar 30, 1986",DEF,"Sevilla, Real Madrid, Paris Saint-Germain",25557,Q483309
Marcelo,Brazil,"May 12, 1988",DEF,"Fluminense, Real Madrid, Olympiacos",44501,Q38136
Gianluigi Buffon,Italy,"Jan 28, 1978",GK,"Parma, Juventus, Paris Saint-Germain",5023,Q68060
Neymar,Brazil,"Feb 5, 1992",FWD,"Santos, Barcelona, Paris Saint-Germain, Al-Hilal",68290,Q142794
Luis Suárez,Uruguay,"Jan 24, 1987",FWD,"Ajax, Liverpool, Barcelona, Atlético Madrid, Inter Miami",44352,Q26517
Alexis Sánchez,Chile,"Dec 19, 1988",FWD,"River Plate, Udinese, Barcelona, Arsenal, Manchester United, Inter Milan, Marseille",40433,Q180553
Radamel Falcao,Colombia,"Feb 10, 1986",FWD,"River Plate, Porto, Atlético Madrid, Monaco, Manchester United, Chelsea, Galatasaray, Rayo Vallecano",39152,Q138172
Diego Costa,Spain,"Oct 7, 1988",FWD,"Atlético Madrid, Celta Vigo, Real Valladolid, Rayo Vallecano, Chelsea, Botafogo",44779,Q459707
James Rodríguez,Colombia,"Jul 12, 1991",MID,"Porto, Monaco, Real Madrid, Bayern Munich, Everton, Olympiacos, Rayo Vallecano",88103,Q368441
Paul Pogba,France,"Mar 15, 1993",MID,"Manchester United, Juventus",122153,Q129027
Bastian Schweinsteiger,Germany,"Aug 1, 1984",MID,"Bayern Munich, Manchester United",2514,Q44298
Toni Kroos,Germany,"Jan 4, 1990",MID,"Bayern Munich, Bayer Leverkusen, Real Madrid",31909,Q131234
Philipp Lahm,Germany,"Nov 11, 1983",DEF,"Bayern Munich, VfB Stuttgart",2219,Q43682
Manuel Neuer,Germany,"Mar 27, 1986",GK,"Schalke 04, Bayern Munich",17259,Q107365
Robert Lewandowski,Poland,"Aug 21, 1988",FWD,"Borussia Dortmund, Bayern Munich, Barcelona",38253,Q151269
Eden Hazard,Belgium,"Jan 7, 1991",FWD,"Lille, Chelsea, Real Madrid",50202,Q214204
Kevin De Bruyne,Belgium,"Jun 28, 1991",MID,"Chelsea, VfL Wolfsburg, Manchester City",88755,Q357984
Romelu Lukaku,Belgium,"May 13, 1993",FWD,"Anderlecht, Chelsea, Everton, Manchester United, Inter Milan, Roma, Napoli",96341,Q313316
Álvaro Morata,Spain,"Oct 23, 1992",FWD,"Real Madrid, Juventus, Chelsea, Atlético Madrid, AC Milan",128223,Q48770
Raheem Sterling,England,"Dec 8, 1994",FWD,"Liverpool, Manchester City, Chelsea, Arsenal",134425,Q312157
Mohamed Salah,Egypt,"Jun 15, 1992",FWD,"Basel, Chelsea, Fiorentina, Roma, Liverpool",148455,Q1354960
Xavi,Spain,"Jan 25, 1980",MID,Barcelona,7607,Q17500
Franz Beckenbauer,Germany,"Sep 11, 1945",DEF,"Bayern Munich, Hamburger SV",72347,Q4457
Gerd Müller,Germany,"Nov 3, 1945",FWD,Bayern Munich,35604,Q43744
Eusebio,Portugal,"Jan 25, 1942",FWD,Benfica,89230,Q162043
Ferenc Puskás,Hungary,"Apr 1, 1927",FWD,Real Madrid,103092,Q482931
Alfredo Di Stéfano,Argentina / Spain,"Jul 4, 1926",FWD,"River Plate, Real Madrid, Espanyol",135778,Q164546
Garrincha,Brazil,"Oct 28, 1933",FWD,"Botafogo, Corinthians, Flamengo",151263,Q180642
Bobby Charlton,England,"Oct 11, 1937",MID,Manchester United,174874,Q171583
George Best,Northern Ireland,"May 22, 1946",FWD,"Manchester United, Fulham",174986,Q164521
Lev Yashin,Russia,"Oct 22, 1929",GK,,174987,Q167828
Zico,Brazil,"Mar 3, 1953",MID,"Flamengo, Udinese",117619,Q47526
Sócrates,Brazil,"Feb 19, 1954",MID,"Corinthians, Fiorentina, Flamengo, Santos",117633,Q102331
Falcão,Brazil,"Oct 16, 1953",MID,Roma,117621,Q312454
Dino Zoff,Italy,"Feb 28, 1942",GK,"Udinese, Napoli, Juventus",89229,Q180661
Giacinto Facchetti,Italy,"Jul 18, 1942",DEF,Inter Milan,145193,Q219390
Gianni Rivera,Italy,"Aug 18, 1943",MID,AC Milan,145347,Q230046
Gigi Riva,Italy,"Nov 7, 1944",FWD,,145348,Q276026
Bobby Moore,England,"Apr 12, 1941",DEF,"West Ham United, Fulham",196086,Q191492
Gordon Banks,England,"Dec 30, 1937",GK,"Leicester City, Stoke City",200627,Q213879
Kevin Keegan,England,"Feb 14, 1951",FWD,"Liverpool, Hamburger SV, Southampton, Newcastle United",85458,Q152832
Kenny Dalglish,Scotland,"Mar 4, 1951",FWD,"Celtic, Liverpool",135269,Q187198
Graeme Souness,Scotland,"May 6, 1953",MID,"Tottenham Hotspur, Rangers",116155,Q310352
Ian Rush,Wales,"Oct 20, 1961",FWD,"Liverpool, Juventus, Leeds United, Newcastle United",145743,Q219354
John Barnes,England,"Nov 7, 1963",MID,"Liverpool, Newcastle United",87436,Q10536
Gary Lineker,England,"Nov 30, 1960",FWD,"Leicester City, Everton, Barcelona, Tottenham Hotspur",22256,Q47778
Bryan Robson,England,"Jan 11, 1957",MID,Manchester United,101382,Q296583
Glenn Hoddle,England,"Oct 27, 1957",MID,"Tottenham Hotspur, Monaco, Chelsea",117193,Q296666
Paul Gascoigne,England,"May 27, 1967",MID,"Newcastle United, Tottenham Hotspur, Lazio, Rangers, Everton, Burnley",3830,Q13002
Chris Waddle,England,"Dec 14, 1960",MID,"Newcastle United, Tottenham Hotspur, Marseille, Burnley",101385,Q352878
Sepp Maier,Germany,"Feb 28, 1944",GK,Bayern Munich,89550,Q44194
Paul Breitner,Germany,"Sep 5, 1951",MID,"Bayern Munich, Real Madrid",13766,Q44458
Uli Hoeness,Germany,"Jan 5, 1952",MID,Bayern Munich,72351,Q44340
Karl-Heinz Förster,Germany,"Jul 25, 1958",DEF,"VfB Stuttgart, Marseille",200375,Q62091
Hans-Peter Briegel,Germany,"Oct 11, 1955",DEF,,71378,Q437341
Klaus Allofs,Germany,"Dec 5, 1956",FWD,"FC Köln, Marseille",13761,Q166336
Raymond Kopa,France,"Oct 13, 1931",MID,Real Madrid,170730,Q123118
Just Fontaine,France,"Aug 18, 1933",FWD,Nice,151245,Q192749
Jean-Pierre Papin,France,"Nov 5, 1963",FWD,"Club Brugge, Marseille, AC Milan, Bayern Munich",17168,Q13494
Alain Giresse,France,"Aug 2, 1952",MID,Marseille,117493,Q312170
Jean Tigana,France,"Jun 23, 1955",MID,"Lyon, Marseille",117501,Q295559
Luis Aragonés,Spain,"Jul 28, 1938",MID,"Real Madrid, Atlético Madrid",135744,Q576614
Telmo Zarra,Spain,"Jan 20, 1921",FWD,Athletic Bilbao,135777,Q312408
Emilio Butragueño,Spain,"Jul 22, 1963",FWD,Real Madrid,117598,Q41235
Míchel,Spain,"Mar 23, 1963",MID,Real Madrid,117613,Q558689
José Antonio Camacho,Spain,"Jun 8, 1955",DEF,Real Madrid,88978,Q311227
Andoni Zubizarreta,Spain,"Oct 23, 1961",GK,"Athletic Bilbao, Barcelona, Valencia",8117,Q215963
Gaetano Scirea,Italy,"May 25, 1953",DEF,"Atalanta, Juventus",116740,Q299608
Marco Tardelli,Italy,"Sep 24, 1954",MID,"Como, Juventus, Inter Milan",116744,Q312626
Claudio Gentile,Italy,"Sep 27, 1953",DEF,"Juventus, Fiorentina",128893,Q315839
Antonio Cabrini,Italy,"Oct 8, 1957",DEF,"Atalanta, Juventus, Bologna",116689,Q68064
Bruno Conti,Italy,"Mar 13, 1955",MID,"Roma, Genoa",116698,Q355923
Gianluca Vialli,Italy,"Jul 9, 1964",FWD,"Juventus, Chelsea",16036,Q239688
Roberto Mancini,Italy,"Nov 27, 1964",FWD,"Bologna, Lazio, Leicester City",68204,Q48330
Giuseppe Bergomi,Italy,"Dec 22, 1963",DEF,Inter Milan,107860,Q235159
Gianfranco Zola,Italy,"Jul 5, 1966",FWD,"Napoli, Parma, Chelsea",3177,Q9354
Ruud Krol,Netherlands,"Dec 20, 1949",DEF,"Ajax, Napoli",135621,Q313180
Johan Neeskens,Netherlands,"Sep 15, 1951",MID,"Ajax, Barcelona",135643,Q233819
Johnny Rep,Netherlands,"Nov 25, 1951",FWD,"Ajax, Valencia, Feyenoord",135645,Q313382
Ronald Koeman,Netherlands,"Mar 21, 1963",DEF,"Ajax, PSV Eindhoven, Barcelona, Feyenoord",7940,Q192635
Frank de Boer,Netherlands,"May 15, 1970",DEF,"Ajax, Barcelona, Galatasaray, Rangers",3518,Q219657
Ronald de Boer,Netherlands,"May 15, 1970",MID,"Ajax, Barcelona, Rangers",3519,Q270075
Sándor Kocsis,Hungary,"Sep 21, 1929",FWD,Barcelona,136482,Q295265
Nándor Hidegkuti,Hungary,"Mar 3, 1922",FWD,,105334,Q166035
József Bozsik,Hungary,"Nov 28, 1925",MID,,136476,Q318752
Rinat Dasayev,Russia,"Jun 13, 1957",GK,Sevilla,117377,Q294444
Valentin Ivanov,Russia,"Nov 19, 1934",FWD,,151247,Q313309
Dragan Džajić,Serbia,"May 30, 1946",FWD,Red Star Belgrade,145124,Q297357
Siniša Mihajlović,Serbia,"Feb 20, 1969",DEF,"Red Star Belgrade, Roma, Lazio, Inter Milan",5834,Q294351
Dejan Savićević,Montenegro,"Sep 15, 1966",MID,"Red Star Belgrade, AC Milan",35894,Q135625
Robert Prosinečki,Croatia,"Jan 12, 1969",MID,"Dinamo Zagreb, Red Star Belgrade, Real Madrid, Barcelona, Sevilla",8013,Q298190
Darko Pančev,,"Sep 7, 1965",FWD,"Red Star Belgrade, Inter Milan",100098,Q311362
Daniel Passarella,Argentina,"May 25, 1953",DEF,"River Plate, Fiorentina, Inter Milan",116735,Q15802
Mario Kempes,Argentina,"Jul 15, 1954",FWD,"Valencia, River Plate",37264,Q180649
Ubaldo Fillol,Argentina,"Jul 21, 1950",GK,"River Plate, Flamengo, Atlético Madrid",135806,Q140319
Jorge Valdano,Argentina,"Oct 4, 1955",FWD,"Real Zaragoza, Real Madrid",116747,Q298305
Oscar Ruggeri,Argentina,"Jan 26, 1962",DEF,"Boca Juniors, River Plate, Real Madrid",102214,Q346942
Carlos Valderrama,Colombia,"Sep 2, 1961",MID,Real Valladolid,88998,Q204089
Faustino Asprilla,Colombia,"Nov 10, 1969",FWD,"Parma, Newcastle United, Palmeiras, Fluminense",102150,Q361409
Freddy Rincón,Colombia,"Aug 14, 1966",MID,"Palmeiras, Napoli, Real Madrid, Corinthians, Santos",102163,Q225837
René Higuita,Colombia,"Aug 27, 1966",GK,Real Valladolid,55838,Q237494
Iván Zamorano,Chile,"Jan 18, 1967",FWD,"Sevilla, Real Madrid, Inter Milan",129083,Q192035
Marcelo Salas,Chile,"Dec 24, 1974",FWD,"River Plate, Lazio, Juventus",3415,Q295438
Teófilo Cubillas,Peru,"Mar 8, 1949",MID,"Basel, Porto",133753,Q311403
Hugo Sánchez,Mexico,"Jul 11, 1958",FWD,"Atlético Madrid, Real Madrid, Rayo Vallecano",84528,Q487155
Jorge Campos,Mexico,"Oct 15, 1966",GK,Los Angeles Galaxy,102513,Q313761
Rabah Madjer,Algeria,"Feb 15, 1958",FWD,"Porto, Valencia",117747,Q431343
Lakhdar Belloumi,Algeria,"Dec 29, 1958",MID,,117732,Q176426
Thomas N'Kono,Cameroon,"Jul 20, 1956",GK,Espanyol,102612,Q166844
Rigobert Song,Cameroon,"Jul 1, 1976",DEF,"Liverpool, West Ham United, FC Köln, Galatasaray",1419,Q215533
Cha Bum-kun,South Korea,"May 22, 1953",FWD,"Eintracht Frankfurt, Bayer Leverkusen",96628,Q346751
Kazuyoshi Miura,Japan,"Feb 26, 1967",FWD,"Santos, Genoa",112589,Q331953
Ali Daei,,"Mar 21, 1969",FWD,"Bayern Munich, Al-Shabab",335,Q159622
Majed Abdullah,Saudi Arabia,"Nov 1, 1959",FWD,Al-Nassr,101764,Q446181
Saeed Al-Owairan,Saudi Arabia,"Aug 19, 1967",MID,Al-Shabab,101776,Q381686
Alessandro Nesta,Italy,"Mar 19, 1976",DEF,"Lazio, AC Milan",4171,Q227892
Fabio Cannavaro,Italy,"Sep 13, 1973",DEF,"Napoli, Parma, Inter Milan, Juventus, Real Madrid, Al-Ahli",5775,Q102027
Giorgio Chiellini,Italy,"Aug 14, 1984",DEF,"Fiorentina, Juventus",29260,Q80306
Andrés Iniesta,Spain,"May 11, 1984",MID,Barcelona,7600,Q43729
Carlos Alberto,Brazil,"Jul 17, 1944",DEF,"Fluminense, Santos, Flamengo",229662,Q295262
